NAME,DATA TIMESTAMP,RAINFALL DAY MM
Pagimana,2025-01-22 00:00:00.0 +0:00,0
Pagimana,2025-01-23 00:00:00.0 +0:00,19
Pagimana,2025-01-24 00:00:00.0 +0:00,4
Pagimana,2025-01-25 00:00:00.0 +0:00,0
Pagimana,2025-01-26 00:00:00.0 +0:00,5
Pagimana,2025-01-27 00:00:00.0 +0:00,0
Pagimana,2025-01-28 00:00:00.0 +0:00,0
Pagimana,2025-01-29 00:00:00.0 +0:00,0
Pagimana,2025-01-30 00:00:00.0 +0:00,0
Pagimana,2025-01-31 00:00:00.0 +0:00,0
Samaku,2025-01-01 00:00:00.0 +0:00,0
Samaku,2025-01-02 00:00:00.0 +0:00,0
Samaku,2025-01-03 00:00:00.0 +0:00,0
Samaku,2025-01-04 00:00:00.0 +0:00,0
Samaku,2025-01-05 00:00:00.0 +0:00,37
Samaku,2025-01-06 00:00:00.0 +0:00,0
Samaku,2025-01-07 00:00:00.0 +0:00,0
Samaku,2025-01-08 00:00:00.0 +0:00,15
Samaku,2025-01-09 00:00:00.0 +0:00,0
Samaku,2025-01-10 00:00:00.0 +0:00,0
Samaku,2025-01-11 00:00:00.0 +0:00,0
Samaku,2025-01-12 00:00:00.0 +0:00,0
Samaku,2025-01-13 00:00:00.0 +0:00,10
Samaku,2025-01-14 00:00:00.0 +0:00,0
Samaku,2025-01-15 00:00:00.0 +0:00,0
Samaku,2025-01-16 00:00:00.0 +0:00,0
Samaku,2025-01-17 00:00:00.0 +0:00,0
Samaku,2025-01-18 00:00:00.0 +0:00,0
Samaku,2025-01-19 00:00:00.0 +0:00,9
Samaku,2025-01-20 00:00:00.0 +0:00,0
Samaku,2025-01-21 00:00:00.0 +0:00,10
Samaku,2025-01-22 00:00:00.0 +0:00,12
Samaku,2025-01-23 00:00:00.0 +0:00,0
Samaku,2025-01-24 00:00:00.0 +0:00,0
Samaku,2025-01-25 00:00:00.0 +0:00,15
Samaku,2025-01-26 00:00:00.0 +0:00,0
Samaku,2025-01-27 00:00:00.0 +0:00,0
Samaku,2025-01-28 00:00:00.0 +0:00,0
Samaku,2025-01-29 00:00:00.0 +0:00,21
Samaku,2025-01-30 00:00:00.0 +0:00,25
Samaku,2025-01-31 00:00:00.0 +0:00,0
Tolisu,2025-01-01 00:00:00.0 +0:00,114
Tolisu,2025-01-02 00:00:00.0 +0:00,1
Tolisu,2025-01-03 00:00:00.0 +0:00,1
Tolisu,2025-01-04 00:00:00.0 +0:00,3.5
Tolisu,2025-01-05 00:00:00.0 +0:00,4.5
Tolisu,2025-01-06 00:00:00.0 +0:00,.5
Tolisu,2025-01-07 00:00:00.0 +0:00,0
Tolisu,2025-01-08 00:00:00.0 +0:00,9
Tolisu,2025-01-09 00:00:00.0 +0:00,0
Tolisu,2025-01-10 00:00:00.0 +0:00,2.5
Tolisu,2025-01-11 00:00:00.0 +0:00,0
Tolisu,2025-01-12 00:00:00.0 +0:00,0
Tolisu,2025-01-13 00:00:00.0 +0:00,0
Tolisu,2025-01-14 00:00:00.0 +0:00,25
Tolisu,2025-01-15 00:00:00.0 +0:00,14.5
Tolisu,2025-01-16 00:00:00.0 +0:00,4.5
Tolisu,2025-01-17 00:00:00.0 +0:00,4
Tolisu,2025-01-18 00:00:00.0 +0:00,14
Tolisu,2025-01-19 00:00:00.0 +0:00,25
Tolisu,2025-01-20 00:00:00.0 +0:00,0
Tolisu,2025-01-21 00:00:00.0 +0:00,0
Tolisu,2025-01-22 00:00:00.0 +0:00,24
Tolisu,2025-01-23 00:00:00.0 +0:00,8
Tolisu,2025-01-24 00:00:00.0 +0:00,1.5
Tolisu,2025-01-25 00:00:00.0 +0:00,3.5
Tolisu,2025-01-26 00:00:00.0 +0:00,2
Tolisu,2025-01-27 00:00:00.0 +0:00,12
Tolisu,2025-01-28 00:00:00.0 +0:00,18
Tolisu,2025-01-29 00:00:00.0 +0:00,11
Tolisu,2025-01-30 00:00:00.0 +0:00,9
Tolisu,2025-01-31 00:00:00.0 +0:00,.5
Cendana Pura,2025-01-01 00:00:00.0 +0:00,55
Cendana Pura,2025-01-02 00:00:00.0 +0:00,0
Cendana Pura,2025-01-03 00:00:00.0 +0:00,8888
Cendana Pura,2025-01-04 00:00:00.0 +0:00,14
Cendana Pura,2025-01-05 00:00:00.0 +0:00,1.5
Cendana Pura,2025-01-06 00:00:00.0 +0:00,8888
Cendana Pura,2025-01-07 00:00:00.0 +0:00,0
Cendana Pura,2025-01-08 00:00:00.0 +0:00,0
Cendana Pura,2025-01-09 00:00:00.0 +0:00,0
Cendana Pura,2025-01-10 00:00:00.0 +0:00,4
Cendana Pura,2025-01-11 00:00:00.0 +0:00,0
Cendana Pura,2025-01-12 00:00:00.0 +0:00,0
Cendana Pura,2025-01-13 00:00:00.0 +0:00,0
Cendana Pura,2025-01-14 00:00:00.0 +0:00,42
Cendana Pura,2025-01-15 00:00:00.0 +0:00,0
Cendana Pura,2025-01-16 00:00:00.0 +0:00,2
Cendana Pura,2025-01-17 00:00:00.0 +0:00,9.5
Cendana Pura,2025-01-18 00:00:00.0 +0:00,0
Cendana Pura,2025-01-19 00:00:00.0 +0:00,13
Cendana Pura,2025-01-20 00:00:00.0 +0:00,1
Cendana Pura,2025-01-21 00:00:00.0 +0:00,8888
Cendana Pura,2025-01-22 00:00:00.0 +0:00,15
Cendana Pura,2025-01-23 00:00:00.0 +0:00,2
Cendana Pura,2025-01-24 00:00:00.0 +0:00,8
Cendana Pura,2025-01-25 00:00:00.0 +0:00,10
Cendana Pura,2025-01-26 00:00:00.0 +0:00,0
Cendana Pura,2025-01-27 00:00:00.0 +0:00,0
Cendana Pura,2025-01-28 00:00:00.0 +0:00,2
Cendana Pura,2025-01-29 00:00:00.0 +0:00,0
Cendana Pura,2025-01-30 00:00:00.0 +0:00,8
Cendana Pura,2025-01-31 00:00:00.0 +0:00,8888
Cemerlang,2025-01-01 00:00:00.0 +0:00,8
Cemerlang,2025-01-02 00:00:00.0 +0:00,0
Cemerlang,2025-01-03 00:00:00.0 +0:00,0
Cemerlang,2025-01-04 00:00:00.0 +0:00,0
Cemerlang,2025-01-05 00:00:00.0 +0:00,0
Cemerlang,2025-01-06 00:00:00.0 +0:00,0
Cemerlang,2025-01-07 00:00:00.0 +0:00,0
Cemerlang,2025-01-08 00:00:00.0 +0:00,33.5
Cemerlang,2025-01-09 00:00:00.0 +0:00,46
