NAME,DATA TIMESTAMP,RAINFALL DAY MM
Bakung,2025-09-15 00:00:00.0 +0:00,60
Bakung,2025-09-16 00:00:00.0 +0:00,20
Bakung,2025-09-17 00:00:00.0 +0:00,8888
Bakung,2025-09-18 00:00:00.0 +0:00,8888
Bakung,2025-09-19 00:00:00.0 +0:00,0
Bakung,2025-09-20 00:00:00.0 +0:00,0
Bakung,2025-09-21 00:00:00.0 +0:00,0
Bakung,2025-09-22 00:00:00.0 +0:00,0
Bakung,2025-09-23 00:00:00.0 +0:00,0
Bakung,2025-09-24 00:00:00.0 +0:00,0
Bakung,2025-09-25 00:00:00.0 +0:00,55
Bakung,2025-09-26 00:00:00.0 +0:00,0
Bakung,2025-09-27 00:00:00.0 +0:00,33
Bakung,2025-09-28 00:00:00.0 +0:00,8888
Bakung,2025-09-29 00:00:00.0 +0:00,0
Bakung,2025-09-30 00:00:00.0 +0:00,0
Bakung,2025-10-01 00:00:00.0 +0:00,0
Bakung,2025-10-02 00:00:00.0 +0:00,0
Bakung,2025-10-03 00:00:00.0 +0:00,0
Bakung,2025-10-04 00:00:00.0 +0:00,1
Bakung,2025-10-05 00:00:00.0 +0:00,0
Bakung,2025-10-06 00:00:00.0 +0:00,1
Bakung,2025-10-07 00:00:00.0 +0:00,0
Bakung,2025-10-08 00:00:00.0 +0:00,0
Bakung,2025-10-09 00:00:00.0 +0:00,0
Bakung,2025-10-10 00:00:00.0 +0:00,0
Bakung,2025-10-11 00:00:00.0 +0:00,8888
Bakung,2025-10-12 00:00:00.0 +0:00,9
Bakung,2025-10-13 00:00:00.0 +0:00,0
Bakung,2025-10-14 00:00:00.0 +0:00,0
Bakung,2025-10-15 00:00:00.0 +0:00,0
Bakung,2025-10-16 00:00:00.0 +0:00,0
Bakung,2025-10-17 00:00:00.0 +0:00,0
Bakung,2025-10-18 00:00:00.0 +0:00,0
Bakung,2025-10-19 00:00:00.0 +0:00,0
Bakung,2025-10-20 00:00:00.0 +0:00,0
Bakung,2025-10-21 00:00:00.0 +0:00,0
Bakung,2025-10-22 00:00:00.0 +0:00,0
Bakung,2025-10-23 00:00:00.0 +0:00,8888
Bakung,2025-10-24 00:00:00.0 +0:00,0
Bakung,2025-10-25 00:00:00.0 +0:00,0
Bakung,2025-10-26 00:00:00.0 +0:00,1.5
Bakung,2025-10-27 00:00:00.0 +0:00,6
Bakung,2025-10-28 00:00:00.0 +0:00,8888
Bakung,2025-10-29 00:00:00.0 +0:00,10
Bakung,2025-10-30 00:00:00.0 +0:00,5
Bakung,2025-10-31 00:00:00.0 +0:00,0
Bakung,2025-11-01 00:00:00.0 +0:00,0
Bakung,2025-11-02 00:00:00.0 +0:00,0
Bakung,2025-11-03 00:00:00.0 +0:00,0
Bakung,2025-11-04 00:00:00.0 +0:00,5.5
Bakung,2025-11-05 00:00:00.0 +0:00,0
Bakung,2025-11-06 00:00:00.0 +0:00,0
Bakung,2025-11-07 00:00:00.0 +0:00,8888
Bakung,2025-11-08 00:00:00.0 +0:00,0
Bakung,2025-11-09 00:00:00.0 +0:00,25.5
Bakung,2025-11-10 00:00:00.0 +0:00,22
Bakung,2025-11-11 00:00:00.0 +0:00,8888
Bakung,2025-11-12 00:00:00.0 +0:00,4
Bakung,2025-11-13 00:00:00.0 +0:00,0
Bakung,2025-11-14 00:00:00.0 +0:00,2
Bakung,2025-11-15 00:00:00.0 +0:00,8888
Bakung,2025-11-16 00:00:00.0 +0:00,24
Bakung,2025-11-17 00:00:00.0 +0:00,8888
Bakung,2025-11-18 00:00:00.0 +0:00,0
Bakung,2025-11-19 00:00:00.0 +0:00,8888
Bakung,2025-11-20 00:00:00.0 +0:00,0
Bakung,2025-11-21 00:00:00.0 +0:00,0
Bakung,2025-11-22 00:00:00.0 +0:00,0
Bakung,2025-11-23 00:00:00.0 +0:00,0
Bakung,2025-11-24 00:00:00.0 +0:00,2
Bakung,2025-11-25 00:00:00.0 +0:00,0
Beringin,2025-02-01 00:00:00.0 +0:00,0
Beringin,2025-02-02 00:00:00.0 +0:00,27
Beringin,2025-02-03 00:00:00.0 +0:00,0
Beringin,2025-02-04 00:00:00.0 +0:00,0
Beringin,2025-02-05 00:00:00.0 +0:00,0
Beringin,2025-02-06 00:00:00.0 +0:00,0
Beringin,2025-02-07 00:00:00.0 +0:00,0
Beringin,2025-02-08 00:00:00.0 +0:00,0
Beringin,2025-02-09 00:00:00.0 +0:00,16
Beringin,2025-02-10 00:00:00.0 +0:00,13
Beringin,2025-02-11 00:00:00.0 +0:00,0
Beringin,2025-02-12 00:00:00.0 +0:00,19
Beringin,2025-02-13 00:00:00.0 +0:00,21
Beringin,2025-02-14 00:00:00.0 +0:00,0
Beringin,2025-02-15 00:00:00.0 +0:00,0
Beringin,2025-02-16 00:00:00.0 +0:00,0
Beringin,2025-02-17 00:00:00.0 +0:00,0
Beringin,2025-02-18 00:00:00.0 +0:00,6
Beringin,2025-02-19 00:00:00.0 +0:00,0
Beringin,2025-02-20 00:00:00.0 +0:00,0
Beringin,2025-02-21 00:00:00.0 +0:00,3
Beringin,2025-02-22 00:00:00.0 +0:00,0
Beringin,2025-02-23 00:00:00.0 +0:00,4
Beringin,2025-02-24 00:00:00.0 +0:00,0
Beringin,2025-02-25 00:00:00.0 +0:00,0
Beringin,2025-02-26 00:00:00.0 +0:00,0
Beringin,2025-02-27 00:00:00.0 +0:00,0
Beringin,2025-02-28 00:00:00.0 +0:00,0
Beringin,2025-03-01 00:00:00.0 +0:00,0
Beringin,2025-03-02 00:00:00.0 +0:00,35
Beringin,2025-03-03 00:00:00.0 +0:00,0
Beringin,2025-03-04 00:00:00.0 +0:00,5
Beringin,2025-03-05 00:00:00.0 +0:00,0
Beringin,2025-03-06 00:00:00.0 +0:00,0
Beringin,2025-03-07 00:00:00.0 +0:00,0
Beringin,2025-03-08 00:00:00.0 +0:00,9
Beringin,2025-03-09 00:00:00.0 +0:00,4
Beringin,2025-03-10 00:00:00.0 +0:00,0
Beringin,2025-03-11 00:00:00.0 +0:00,0
Beringin,2025-03-12 00:00:00.0 +0:00,0
Beringin,2025-03-13 00:00:00.0 +0:00,0
Beringin,2025-03-14 00:00:00.0 +0:00,18
Beringin,2025-03-15 00:00:00.0 +0:00,0
Beringin,2025-03-16 00:00:00.0 +0:00,0
Beringin,2025-03-17 00:00:00.0 +0:00,53
Beringin,2025-03-18 00:00:00.0 +0:00,0
Beringin,2025-03-19 00:00:00.0 +0:00,9
Beringin,2025-03-20 00:00:00.0 +0:00,0
Beringin,2025-03-21 00:00:00.0 +0:00,0
Beringin,2025-03-22 00:00:00.0 +0:00,16
Beringin,2025-03-23 00:00:00.0 +0:00,4
Beringin,2025-03-24 00:00:00.0 +0:00,12
Beringin,2025-03-25 00:00:00.0 +0:00,0
Beringin,2025-03-26 00:00:00.0 +0:00,0
Beringin,2025-03-27 00:00:00.0 +0:00,0
Beringin,2025-03-28 00:00:00.0 +0:00,0
Beringin,2025-03-29 00:00:00.0 +0:00,0
Beringin,2025-03-30 00:00:00.0 +0:00,13
Beringin,2025-03-31 00:00:00.0 +0:00,0
Beringin,2025-04-01 00:00:00.0 +0:00,0
Beringin,2025-04-02 00:00:00.0 +0:00,63
Beringin,2025-04-03 00:00:00.0 +0:00,0
Beringin,2025-04-04 00:00:00.0 +0:00,0
Beringin,2025-04-05 00:00:00.0 +0:00,0
Beringin,2025-04-06 00:00:00.0 +0:00,0
Beringin,2025-04-07 00:00:00.0 +0:00,5
Beringin,2025-04-08 00:00:00.0 +0:00,0
